0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin;jsessionid=EF4CA18FC1C34E8CCBBCF60E225FF5D6/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin;jsessionid=EF4CA18FC1C34E8CCBBCF60E225FF5D6/css/slick-theme.css HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin;jsessionid=EF4CA18FC1C34E8CCBBCF60E225FF5D6/css/nouislider.min.css HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin;jsessionid=EF4CA18FC1C34E8CCBBCF60E225FF5D6/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin;jsessionid=EF4CA18FC1C34E8CCBBCF60E225FF5D6/css/style.css HTTP/1.1" 200 39529
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin/img/logo.png HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin/img/product02.png HTTP/1.1" 200 190321
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/views/admin/img/product01.png HTTP/1.1" 200 287437
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/img/shop01.png HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [11/Dec/2023:14:09:26 +0700] "GET /ShopLaptop/img/shop03.png HTTP/1.1" 404 784
